[18/Mar/2026:04:41:40 +0000] - 302 302 - GET http vscode.apperlabs.com "/" [Client 15.158.59.10] [Length 36] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "http://13.251.220.49:81/"
[18/Mar/2026:04:41:40 +0000] - 200 200 - GET http vscode.apperlabs.com "/login" [Client 15.158.59.10] [Length 934] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "http://13.251.220.49:81/"
[18/Mar/2026:04:41:40 +0000] - 200 200 - GET http vscode.apperlabs.com "/manifest.json" [Client 15.158.59.19] [Length 291] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/login"
[18/Mar/2026:04:42:32 +0000] - 302 302 - POST http vscode.apperlabs.com "/login" [Client 15.158.59.10] [Length 31] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/login"
[18/Mar/2026:04:42:32 +0000] - 302 302 - GET http vscode.apperlabs.com "/" [Client 15.158.59.10] [Length 50] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/login"
[18/Mar/2026:04:42:32 +0000] - 200 200 - GET http vscode.apperlabs.com "/?folder=/home/coder" [Client 15.158.59.17] [Length 1391] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/login"
[18/Mar/2026:04:42:33 +0000] - 200 200 - GET http vscode.apperlabs.com "/manifest.json" [Client 15.158.59.17] [Length 291] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:04:42:35 +0000] - 404 404 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/static/node_modules/vsda/rust/web/vsda_bg.wasm" [Client 15.158.59.17] [Length 23] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:04:42:37 +0000] - 200 200 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/static/out/vs/workbench/services/extensions/worker/webWorkerExtensionHostIframe.html?&vscodeWebWorkerExtHostId=655a7bc9-11b6-47bb-a547-9f96913f81bf" [Client 15.158.59.17] [Length 2196] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:04:42:38 +0000] - 200 200 - GET http vscode.apperlabs.com "/update/check" [Client 15.158.59.12] [Length 80] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:04:42:41 +0000] - 200 200 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/vscode-remote-resource?path=%2Fusr%2Flib%2Fcode-server%2Flib%2Fvscode%2Fextensions%2Ftheme-seti%2Ficons%2Fvs-seti-icon-theme.json&tkn=" [Client 15.158.59.12] [Length 7611] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
